School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
10TH STREET SCHOOL	2015-16	61	65.6%	0%	24.6%	9.8%	0%	8.2%	1.6%	0%	70.5%	72.1%	93.4%	93.4%	95.1%	91.8%	40	0	15	6	0	5	1	0	18	17	4	4	3	5	Y	PUBLIC SCHOOL	MARYSVILLE SCHOOL DISTRICT	7204 27TH AVE NE	MARYSVILLE	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
49TH STREET ACADEMY	2015-16	2	50%	0%	0%	50%	0%	50%	0%	0%	50%	50%	50%	50%	100%	50%	1	0	0	1	0	1	0	0	1	1	1	1	0	1	Y	PUBLIC SCHOOL	EVERGREEN SCHOOL DISTRICT (CLARK)	14619B NE 49TH STREET	VANCOUVER	CLARK	EDUCATIONAL SERVICE DISTRICT 112	K -12	Y	Y
A J WEST ELEMENTARY	2015-16	54	64.8%	35.2%	0%	0%	0%	0%	0%	0%	64.8%	64.8%	100%	100%	100%	100%	35	19	0	0	0	0	0	0	19	19	0	0	0	0	Y	PUBLIC SCHOOL	ABERDEEN SCHOOL DISTRICT	1801 BAY AVE	ABERDEEN	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
ACADEMY FOR PRECISION LEARNING	2015-16	7	85.7%	0%	0%	14.3%	14.3%	0%	0%	0%	100%	100%	85.7%	100%	100%	85.7%	6	0	0	1	1	0	0	0	0	0	1	0	0	1	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	5031 UNIVERSITY WAY NE	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-9	Y	Y
ACADEMY NW/FAMILY ACADEMY	2015-16	8	87.5%	0%	0%	12.5%	0%	12.5%	0%	0%	87.5%	87.5%	87.5%	87.5%	87.5%	87.5%	7	0	0	1	0	1	0	0	1	1	1	1	1	1	Y	PRIVATE SCHOOL	ARLINGTON SCHOOL DISTRICT	23420 JORDAN RD	ARLINGTON	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K-12	Y	Y
ACADEMY SCHOOLS / CHILDREN’S ACADEMY	2015-16	4	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	TUKWILA SCHOOL DISTRICT	14601 INTERURBAN AVE S	TUKWILA	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-12	Y	Y
ACME ELEMENTARY	2015-16	25	68%	0%	24%	8%	4%	4%	0%	0%	68%	68%	92%	92%	92%	92%	17	0	6	2	1	1	0	0	8	8	2	2	2	2	Y	PUBLIC SCHOOL	MOUNT BAKER SCHOOL DISTRICT	5200 TURKINGTON RD	ACME	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
ADAMS ELEMENTARY	2015-16	52	78.8%	1.9%	3.8%	15.4%	0%	11.5%	1.9%	1.9%	84.6%	84.6%	100%	96.2%	96.2%	94.2%	41	1	2	8	0	6	1	1	8	8	0	2	2	3	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	2909-E 37 AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
ADNA ELEMENTARY/MIDDLE/HIGH SCHOOL	2015-16	41	73.2%	0%	24.4%	2.4%	2.4%	0%	0%	0%	75.6%	75.6%	100%	100%	100%	97.6%	30	0	10	1	1	0	0	0	10	10	0	0	0	1	Y	PUBLIC SCHOOL	ADNA SCHOOL DISTRICT	P.O. BOX 148	ADNA	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	K-12	Y	Y
AKI KUROSE MIDDLE SCHOOL	2015-16	263	67.7%	0%	28.1%	4.2%	4.6%	0.8%	0%	0.4%	73%	73%	97.7%	96.6%	97%	92.8%	178	0	74	11	12	2	0	1	71	71	6	9	8	19	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	3928 S GRAHAM ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
